日付,台番,BB,RB,BB率,合成,総スタート,ART,ARTゲーム,最終,最大出
2026/06/30,703,2,2,1/203,1/101,405,0,0,135,292
2026/06/29,703,25,5,1/66,1/55,1638,0,0,54,5572
2026/06/28,703,23,6,1/69,1/55,1585,0,0,125,4564
2026/06/27,703,5,5,1/186,1/93,930,0,0,59,396
2026/06/26,703,14,14,1/191,1/96,2678,0,0,156,947
2026/06/25,703,2,2,1/206,1/103,412,0,0,17,388
2026/06/24,703,2,5,1/667,1/191,1334,0,0,124,243
2026/06/23,703,20,6,1/119,1/91,2373,0,0,29,1388
2026/06/22,703,1,1,1/338,1/169,338,0,0,254,187
2026/06/21,703,28,25,1/247,1/130,6905,0,0,53,1035
2026/06/20,703,45,11,1/44,1/36,1989,0,0,136,8143
2026/06/19,703,21,9,1/131,1/92,2749,0,0,128,2537
2026/06/18,703,3,5,1/303,1/114,909,0,0,29,398
2026/06/17,703,5,4,1/183,1/101,913,0,0,53,485
2026/06/30,705,1,2,1/156,1/52,156,0,0,1,243
2026/06/29,705,4,7,1/283,1/103,1132,0,0,59,484
2026/06/28,705,10,7,1/220,1/129,2195,0,0,186,1066
2026/06/27,705,15,13,1/278,1/149,4175,0,0,2,1464
2026/06/26,705,9,7,1/206,1/116,1852,0,0,51,1097
2026/06/25,705,6,4,1/152,1/91,911,0,0,19,379
2026/06/24,705,11,10,1/191,1/100,2100,0,0,34,851
2026/06/23,705,9,8,1/148,1/79,1336,0,0,24,791
2026/06/22,705,7,6,1/233,1/125,1629,0,0,13,531
2026/06/21,705,2,5,1/424,1/121,847,0,0,17,173
2026/06/20,705,1,2,1/369,1/123,369,0,0,19,262
2026/06/19,705,1,1,1/167,1/84,167,0,0,30,173
2026/06/18,705,31,8,1/39,1/31,1211,0,0,42,6302
2026/06/17,705,1,1,1/259,1/130,259,0,0,47,213
2026/06/30,706,1,2,1/331,1/110,331,0,0,17,199
2026/06/29,706,3,3,1/261,1/131,784,0,0,18,292
2026/06/28,706,18,2,1/76,1/69,1373,0,0,49,3284
2026/06/27,706,1,3,1/353,1/88,353,0,0,52,184
2026/06/26,706,32,24,1/144,1/82,4593,0,0,20,7495
2026/06/25,706,10,6,1/174,1/109,1738,0,0,53,2615
2026/06/24,706,1,2,1/580,1/193,580,0,0,15,185
2026/06/23,706,2,4,1/439,1/146,878,0,0,48,211
2026/06/22,706,2,1,1/184,1/123,368,0,0,240,303
2026/06/21,706,10,12,1/243,1/110,2425,0,0,59,1043
2026/06/20,706,41,11,1/68,1/54,2791,0,0,140,6854
2026/06/19,706,6,7,1/220,1/102,1320,0,0,17,522
2026/06/18,706,5,5,1/276,1/138,1382,0,0,41,233
2026/06/17,706,60,14,1/38,1/31,2309,0,0,9,12015
2026/06/30,707,5,2,1/178,1/127,892,0,0,1,317
2026/06/29,707,1,1,1/278,1/139,278,0,0,114,159
2026/06/28,707,4,2,1/161,1/107,642,0,0,21,350
2026/06/27,707,15,15,1/211,1/105,3159,0,0,20,980
2026/06/26,707,1,2,1/384,1/128,384,0,0,18,163
2026/06/25,707,2,3,1/221,1/88,442,0,0,13,285
2026/06/24,707,25,15,1/135,1/85,3380,0,0,51,1595
2026/06/23,707,4,9,1/403,1/124,1610,0,0,23,634
2026/06/22,707,13,14,1/242,1/117,3147,0,0,12,1890
2026/06/21,707,13,12,1/238,1/124,3090,0,0,219,539
2026/06/20,707,3,2,1/135,1/81,405,0,0,16,483
2026/06/19,707,16,9,1/143,1/92,2288,0,0,138,3126
2026/06/18,707,1,1,1/207,1/104,207,0,0,18,207
2026/06/17,707,6,2,1/36,1/27,215,0,0,51,829
2026/06/30,708,2,3,1/406,1/162,812,0,0,63,294
2026/06/29,708,4,4,1/279,1/139,1114,0,0,138,415
2026/06/28,708,3,5,1/536,1/201,1609,0,0,139,271
2026/06/27,708,18,7,1/90,1/65,1617,0,0,16,2586
2026/06/26,708,50,12,1/55,1/44,2741,0,0,1,7109
2026/06/25,708,1,5,1/1173,1/196,1173,0,0,20,188
2026/06/24,708,12,9,1/139,1/79,1668,0,0,216,1417
2026/06/23,708,7,4,1/102,1/65,712,0,0,14,1097
2026/06/22,708,4,5,1/298,1/133,1193,0,0,53,216
2026/06/21,708,61,9,1/38,1/34,2348,0,0,155,11158
2026/06/20,708,12,8,1/166,1/100,1991,0,0,38,3126
2026/06/19,708,14,3,1/45,1/37,636,0,0,1,2663
2026/06/18,708,8,8,1/224,1/112,1794,0,0,160,1196
2026/06/17,708,1,2,1/462,1/154,462,0,0,44,202
2026/06/30,710,4,5,1/281,1/125,1125,0,0,39,272
2026/06/29,710,3,3,1/183,1/91,548,0,0,152,1266
2026/06/28,710,2,4,1/506,1/169,1011,0,0,60,214
2026/06/27,710,10,6,1/177,1/111,1772,0,0,162,722
2026/06/26,710,12,12,1/332,1/166,3983,0,0,134,1050
2026/06/25,710,4,6,1/351,1/140,1402,0,0,55,526
2026/06/24,710,3,4,1/402,1/172,1206,0,0,212,175
2026/06/23,710,5,6,1/236,1/107,1178,0,0,19,585
2026/06/22,710,10,10,1/252,1/126,2519,0,0,233,585
2026/06/21,710,4,4,1/300,1/150,1200,0,0,2,273
2026/06/20,710,36,16,1/110,1/76,3953,0,0,1,6228
2026/06/19,710,16,4,1/94,1/75,1507,0,0,151,4315
2026/06/18,710,17,9,1/145,1/95,2464,0,0,23,983
2026/06/17,710,5,3,1/200,1/125,999,0,0,56,262
